name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
LA1	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LA2	SEEG	µV	0.0	512.0	Left-Inf-Lat-Vent	1024.0	n/a
LA3	SEEG	µV	0.0	512.0	Left-Lateral-Ventricle	1024.0	n/a
LA4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LA5	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LA6	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LA7	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LA8	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LA16	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LA17	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB1	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB2	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB3	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB5	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LB6	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB9	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB10	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB11	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB16	SEEG	µV	0.0	512.0	ctx_lh_G_occipital_middle	1024.0	n/a
LB17	SEEG	µV	0.0	512.0	ctx_lh_G_occipital_middle	1024.0	n/a
LC1	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC2	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC5	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC6	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC7	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC8	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC9	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LC13	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LC14	SEEG	µV	0.0	512.0	ctx_lh_G_pariet_inf-Angular	1024.0	n/a
LE1	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LE2	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LE3	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LE4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LE5	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LE9	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LE10	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LH2	SEEG	µV	0.0	512.0	Left-Hippocampus	1024.0	n/a
LH3	SEEG	µV	0.0	512.0	Left-Hippocampus	1024.0	n/a
LH10	SEEG	µV	0.0	512.0	Left-choroid-plexus	1024.0	n/a
LH11	SEEG	µV	0.0	512.0	Left-Lateral-Ventricle	1024.0	n/a
LH12	SEEG	µV	0.0	512.0	Left-Lateral-Ventricle	1024.0	n/a
LH13	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LH14	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LH15	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LH16	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LH17	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LK3	SEEG	µV	0.0	512.0	Left-Hippocampus	1024.0	n/a
LK4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LK5	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LK6	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LK10	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LK11	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LL2	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LL3	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LL4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LL8	SEEG	µV	0.0	512.0	ctx_lh_S_temporal_inf	1024.0	n/a
LL9	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LN1	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LN2	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LN3	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LN4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LN5	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LN6	SEEG	µV	0.0	512.0	ctx_lh_S_temporal_inf	1024.0	n/a
LO1	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LO2	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LO6	SEEG	µV	0.0	512.0	ctx_lh_G_temporal_inf	1024.0	n/a
LO7	SEEG	µV	0.0	512.0	ctx_lh_G_temporal_inf	1024.0	n/a
LP1	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LP2	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LP3	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
LP4	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
RA3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RA4	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RA5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RA6	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RA15	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_sup	1024.0	n/a
RA16	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Angular	1024.0	n/a
RB2	SEEG	µV	0.0	512.0	ctx_rh_S_collat_transv_ant	1024.0	n/a
RB3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RB10	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RB11	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RC1	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RC2	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RC3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RC10	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_sup	1024.0	n/a
RC11	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE1	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE2	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE4	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
RE5	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
RE6	SEEG	µV	0.0	512.0	WM-hypointensities	1024.0	n/a
RE10	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE11	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RH1	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH2	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH5	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH6	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH12	SEEG	µV	0.0	512.0	Right-Lateral-Ventricle	1024.0	n/a
RH13	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RH14	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RH15	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RH17	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RH18	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RI2	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RI3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RI6	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_sup	1024.0	n/a
RI7	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_sup	1024.0	n/a
RK1	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RK2	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RK3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RK4	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RK5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
