onset	duration	trial_type	value	sample
0.0	2.00390625	word	buurt	0
2.00390625	1.00390625	fixation	+	2052
3.0078125	2.001953125	word	meisjes	3080
5.009765625	0.9990234375	fixation	+	5130
6.0087890625	2.0029296875	word	7	6153
8.01171875	0.9990234375	fixation	+	8204
9.0107421875	2.0029296875	word	vogeltje	9227
11.013671875	1.0009765625	fixation	+	11278
12.0146484375	2.0029296875	word	betovering	12303
14.017578125	1.0	fixation	+	14354
15.017578125	2.001953125	word	haar	15378
17.01953125	1.001953125	fixation	+	17428
18.021484375	2.0009765625	word	zandbak	18454
20.0224609375	1.005859375	fixation	+	20503
21.0283203125	1.9990234375	word	wegpakte	21533
23.02734375	1.0009765625	fixation	+	23580
24.0283203125	2.0009765625	word	struik	24605
26.029296875	1.0	fixation	+	26654
27.029296875	2.0029296875	word	om	27678
29.0322265625	1.001953125	fixation	+	29729
30.0341796875	2.0009765625	word	nog	30755
32.03515625	1.0009765625	fixation	+	32804
33.0361328125	2.0048828125	word	hij	33829
35.041015625	0.9970703125	fixation	+	35882
36.0380859375	2.0029296875	word	erheen	36903
38.041015625	1.0009765625	fixation	+	38954
39.0419921875	2.0009765625	word	braadde	39979
41.04296875	1.001953125	fixation	+	42028
42.044921875	2.0	word	totdat	43054
44.044921875	1.0029296875	fixation	+	45102
45.0478515625	2.0029296875	word	sprong	46129
47.05078125	1.0009765625	fixation	+	48180
48.0517578125	2.0	word	over	49205
50.0517578125	1.0029296875	fixation	+	51253
51.0546875	2.0009765625	word	de	52280
53.0556640625	1.0	fixation	+	54329
54.0556640625	2.0029296875	word	komt	55353
56.05859375	1.0029296875	fixation	+	57404
57.0615234375	1.9990234375	word	zanddak	58431
59.060546875	1.001953125	fixation	+	60478
60.0625	2.0009765625	word	schold	61504
62.0634765625	1.0048828125	fixation	+	63553
63.068359375	2.0029296875	word	spreuk	64582
65.0712890625	0.9990234375	fixation	+	66633
66.0703125	2.001953125	word	je	67656
68.072265625	1.001953125	fixation	+	69706
69.07421875	2.0	word	ze	70732
71.07421875	1.0029296875	fixation	+	72780
72.0771484375	2.001953125	word	zijn	73807
74.0791015625	1.0029296875	fixation	+	75857
75.08203125	2.001953125	word	tussen	76884
77.083984375	1.0009765625	fixation	+	78934
78.0849609375	1.998046875	word	hun	79959
80.0830078125	1.0029296875	fixation	+	82005
81.0859375	2.001953125	word	niet	83032
83.087890625	1.0	fixation	+	85082
84.087890625	2.001953125	word	4	86106
86.08984375	1.00390625	fixation	+	88156
87.09375	1.9990234375	word	tot	89184
89.0927734375	1.0029296875	fixation	+	91231
90.095703125	2.001953125	word	vogelkooitje	92258
92.09765625	0.9990234375	fixation	+	94308
93.0966796875	2.0029296875	word	uittrekken	95331
95.099609375	1.001953125	fixation	+	97382
96.1015625	2.0	word	donkere	98408
98.1015625	0.998046875	fixation	+	100456
99.099609375	2.0048828125	word	of	101478
101.1044921875	1.0009765625	fixation	+	103531
102.10546875	2.001953125	word	naar	104556
104.107421875	0.9990234375	fixation	+	106606
105.1064453125	2.0068359375	word	`s	107629
107.11328125	1.001953125	fixation	+	109684
108.115234375	1.9970703125	word	hoe	110710
110.1123046875	1.00390625	fixation	+	112755
111.1162109375	2.0009765625	word	verdwaald	113783
113.1171875	1.001953125	fixation	+	115832
114.119140625	1.9990234375	word	geen	116858
116.1181640625	1.00390625	fixation	+	118905
117.1220703125	2.0009765625	word	er	119933
119.123046875	1.0009765625	fixation	+	121982
120.1240234375	2.0029296875	word	kwamen	123007
122.126953125	1.0	fixation	+	125058
123.126953125	2.0029296875	word	bak	126082
125.1298828125	1.0048828125	fixation	+	128133
126.134765625	1.9970703125	word	daarna	129162
128.1318359375	1.001953125	fixation	+	131207
129.1337890625	2.0009765625	word	verlost	132233
131.134765625	1.001953125	fixation	+	134282
132.13671875	2.0	word	nu	135308
134.13671875	1.0029296875	fixation	+	137356
135.1396484375	2.0029296875	word	hierop	138383
137.142578125	1.0009765625	fixation	+	140434
138.1435546875	2.001953125	word	wat	141459
140.1455078125	1.0	fixation	+	143509
141.1455078125	1.998046875	word	bij	144533
143.1435546875	1.0048828125	fixation	+	146579
144.1484375	2.0029296875	word	bloedrode	147608
146.1513671875	1.0	fixation	+	149659
147.1513671875	2.0048828125	word	juist	150683
149.15625	1.0029296875	fixation	+	152736
150.1591796875	1.998046875	word	hem	153763
152.1572265625	1.001953125	fixation	+	155809
153.1591796875	2.0048828125	word	werd	156835
155.1640625	1.0	fixation	+	158888
156.1640625	2.001953125	word	9	159912
158.166015625	1.0009765625	fixation	+	161962
159.1669921875	2.0009765625	word	stilstaan	162987
161.16796875	1.00390625	fixation	+	165036
162.171875	1.998046875	word	door	166064
164.169921875	1.001953125	fixation	+	168110
165.171875	2.0	word	deur	169136
167.171875	1.0029296875	fixation	+	171184
168.1748046875	2.0	word	dichtbij	172211
170.1748046875	1.0048828125	fixation	+	174259
171.1796875	1.9951171875	word	zich	175288
173.1748046875	1.005859375	fixation	+	177331
174.1806640625	1.9990234375	word	nachtegalen	178361
176.1796875	1.001953125	fixation	+	180408
177.181640625	2.0029296875	word	vloog	181434
179.1845703125	1.0009765625	fixation	+	183485
180.185546875	2.0009765625	word	mooie	184510
182.1865234375	1.001953125	fixation	+	186559
183.1884765625	2.0048828125	word	teruggekregen	187585
185.193359375	1.0	fixation	+	189638
186.193359375	2.0048828125	word	11	190662
188.1982421875	0.9970703125	fixation	+	192715
189.1953125	2.0	word	van	193736
191.1953125	1.001953125	fixation	+	195784
192.197265625	2.0009765625	word	zonlicht	196810
194.1982421875	1.0048828125	fixation	+	198859
195.203125	2.0	word	zo	199888
197.203125	1.0009765625	fixation	+	201936
198.2041015625	2.0009765625	word	verstijfde	202961
200.205078125	1.001953125	fixation	+	205010
201.20703125	2.0029296875	word	op	206036
203.2099609375	1.00390625	fixation	+	208087
204.2138671875	1.9970703125	word	en	209115
206.2109375	1.001953125	fixation	+	211160
207.212890625	2.0029296875	word	wak	212186
209.2158203125	1.0009765625	fixation	+	214237
210.216796875	2.0	word	veel	215262
212.216796875	1.0009765625	fixation	+	217310
213.2177734375	2.001953125	word	helft	218335
215.2197265625	1.001953125	fixation	+	220385
216.2216796875	2.0009765625	word	dan	221411
218.22265625	1.0009765625	fixation	+	223460
219.2236328125	2.0029296875	word	wel	224485
221.2265625	1.001953125	fixation	+	226536
222.228515625	1.9990234375	word	zou	227562
224.2275390625	1.001953125	fixation	+	229609
225.2294921875	2.00390625	word	8	230635
227.2333984375	1.001953125	fixation	+	232687
228.2353515625	1.998046875	word	had	233713
230.2333984375	1.0048828125	fixation	+	235759
231.23828125	2.0009765625	word	smeekte	236788
233.2392578125	1.0009765625	fixation	+	238837
234.240234375	1.9951171875	word	aan	239862
236.2353515625	1.009765625	fixation	+	241905
237.2451171875	1.9990234375	word	ook	242939
239.244140625	1.0009765625	fixation	+	244986
240.2451171875	2.005859375	word	bevrijd	246011
242.2509765625	1.00390625	fixation	+	248065
243.2548828125	2.0009765625	word	met	249093
245.255859375	1.0009765625	fixation	+	251142
246.2568359375	2.0	word	groen	252167
248.2568359375	1.001953125	fixation	+	254215
249.2587890625	2.001953125	word	5	255241
251.2607421875	1.0009765625	fixation	+	257291
252.26171875	2.00390625	word	in	258316
254.265625	0.9990234375	fixation	+	260368
255.2646484375	2.001953125	word	mooi	261391
257.2666015625	1.0009765625	fixation	+	263441
258.267578125	2.0009765625	word	dauwdruppel	264466
260.2685546875	1.0029296875	fixation	+	266515
261.271484375	2.0009765625	word	maantje	267542
263.2724609375	1.0048828125	fixation	+	269591
264.27734375	2.0	word	kin	270620
266.27734375	1.0	fixation	+	272668
267.27734375	2.0029296875	word	het	273692
269.2802734375	1.0	fixation	+	275743
270.2802734375	2.0009765625	word	maar	276767
272.28125	1.0029296875	fixation	+	278816
273.2841796875	2.0	word	te	279843
275.2841796875	1.0029296875	fixation	+	281891
276.287109375	2.0	word	1	282918
278.287109375	1.0029296875	fixation	+	284966
279.2900390625	2.0	word	alsof	285993
281.2900390625	1.0	fixation	+	288041
282.2900390625	2.0029296875	word	helemaal	289065
284.29296875	1.001953125	fixation	+	291116
285.294921875	2.001953125	word	onmiddellijk	292142
287.296875	1.0029296875	fixation	+	294192
288.2998046875	1.998046875	word	bakker	295219
290.2978515625	1.00390625	fixation	+	297265
291.3017578125	1.9990234375	word	2	298293
293.30078125	1.0048828125	fixation	+	300340
294.3056640625	1.998046875	word	vak	301369
296.3037109375	1.0078125	fixation	+	303415
297.3115234375	2.0	word	dak	304447
